index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,attendance_rate_missing
5099,1,Yes,Arts,Auditory,K24IX8,Male,No,80.0,17.0,0.0,16.0,7.0,95.0,22:00,6:00,private transport,green,0
5100,2,No,Sports,Visual,STVBAZ,Male,No,77.0,17.0,0.0,15.0,10.0,90.0,21:30,5:30,public transport,white,0
5101,1,No,Arts,Auditory,94FSQI,Male,Yes,58.0,15.0,7.0,15.0,13.0,95.0,21:00,5:00,public transport,yellow,0
5102,2,No,Clubs,Auditory,10SWDZ,Female,Yes,58.0,3.0,15.0,16.0,18.0,100.0,23:00,7:00,walk,white,0
5103,1,No,Arts,Auditory,7CWSQD,Male,No,65.0,21.0,7.0,16.0,15.0,94.0,22:00,6:00,private transport,blue,0
5104,0,No,Arts,Visual,QX5X5D,Male,No,55.0,10.0,12.0,15.0,19.0,98.0,23:00,7:00,walk,yellow,0
5105,1,No,Arts,Auditory,WL9LX9,Female,No,63.0,5.0,22.0,16.0,17.0,92.0,22:30,6:30,private transport,white,0
5106,1,No,Clubs,Auditory,MGNCFU,Male,No,40.0,10.0,18.0,16.0,3.0,50.0,1:00,5:00,public transport,red,0
5107,1,No,Clubs,Visual,Y999MP,Male,No,51.0,14.0,16.0,16.0,7.0,97.0,22:00,6:00,private transport,red,0
5108,0,Yes,,Visual,IQMOIC,Female,Yes,83.0,11.0,4.0,16.0,10.0,98.0,21:00,5:00,public transport,blue,0
5109,0,No,Sports,Auditory,GN4IDL,Male,Yes,79.0,14.0,7.0,16.0,7.0,91.0,23:00,7:00,walk,white,0
5110,1,No,Sports,Visual,XRGZB4,Female,No,,1.0,25.0,16.0,16.0,92.0,21:30,5:30,public transport,black,0
5111,1,No,Arts,Auditory,WMT4WV,Male,Yes,74.0,25.0,3.0,16.0,5.0,95.0,23:00,7:00,walk,blue,0
5112,2,No,,Auditory,ZDXC18,Female,Yes,64.0,17.0,3.0,16.0,19.0,97.0,23:00,7:00,walk,blue,0
5113,0,No,,Auditory,87EX73,Female,Yes,71.0,1.0,20.0,16.0,10.0,96.0,21:30,5:30,public transport,yellow,0
5114,0,No,Arts,Auditory,TS1G28,Male,No,64.0,15.0,7.0,16.0,17.0,95.0,23:00,7:00,walk,black,0
5115,0,No,Clubs,Auditory,9AZ29X,Male,No,56.0,12.0,10.0,15.0,17.0,100.0,21:30,5:30,public transport,blue,0
5116,0,No,,Visual,UOBPEV,Male,Yes,96.0,18.0,0.0,15.0,7.0,92.0,0:00,7:00,walk,yellow,0
5117,2,No,,Visual,3GX7MR,Male,No,68.0,15.0,7.0,15.0,11.0,97.0,23:00,7:00,walk,black,0
5118,0,No,Arts,Auditory,9K1TBE,Female,Yes,58.0,17.0,5.0,15.0,10.0,96.0,22:00,6:00,private transport,white,0
5119,0,No,Sports,Visual,Y45UFC,Male,Yes,95.0,14.0,9.0,16.0,6.0,91.0,22:30,6:30,private transport,green,0
5120,0,No,Clubs,Auditory,KJMXYS,Female,No,81.0,12.0,11.0,16.0,6.0,99.0,21:30,5:30,public transport,red,0
5121,1,No,,Visual,N3N9T0,Female,No,,28.0,1.0,16.0,13.0,91.0,21:00,5:00,public transport,black,0
5122,1,No,Sports,Auditory,OG9CUA,Female,No,48.0,9.0,20.0,15.0,5.0,92.0,22:30,6:30,private transport,blue,0
5123,0,No,Sports,Visual,KEMV3Q,Male,Yes,80.0,15.0,9.0,15.0,6.0,95.0,23:00,7:00,walk,blue,0
5124,2,Yes,Sports,Visual,QBWRPB,Female,Yes,80.0,6.0,12.0,15.0,8.0,91.0,22:30,6:30,private transport,yellow,0
5125,0,Yes,Arts,Visual,3AQA3T,Male,Yes,71.0,11.0,5.0,16.0,5.0,99.0,23:00,7:00,walk,green,0
5126,0,No,Sports,Visual,GCXOE0,Male,No,82.0,26.0,1.0,15.0,9.0,96.0,22:00,6:00,private transport,green,0
5127,1,No,Arts,Auditory,CNXIXG,Female,No,35.0,23.0,5.0,16.0,11.0,98.0,22:00,6:00,private transport,black,0
5128,2,No,Arts,Visual,L8JGC6,Male,Yes,79.0,11.0,8.0,15.0,8.0,95.0,21:00,5:00,public transport,white,0
5129,1,No,Clubs,Auditory,CEUB49,Female,No,54.0,9.0,21.0,15.0,8.0,97.0,22:00,6:00,private transport,black,0
5130,1,Yes,,Visual,2SEKXN,Male,Yes,95.0,14.0,7.0,16.0,10.0,99.0,22:00,6:00,private transport,black,0
5131,1,No,Arts,Auditory,C7RT8A,Female,Yes,48.0,19.0,11.0,15.0,5.0,98.0,22:00,6:00,private transport,red,0
5132,0,No,,Visual,9QDG33,Male,Yes,86.0,16.0,2.0,15.0,6.0,93.0,23:00,7:00,walk,white,0
5133,2,No,Sports,Auditory,6TAS5O,Male,No,48.0,15.0,4.0,15.0,12.0,96.0,23:00,7:00,walk,blue,0
5134,2,No,Sports,Auditory,83R4QA,Male,Yes,62.0,10.0,13.0,16.0,7.0,93.0,22:30,6:30,private transport,red,0
5135,1,Yes,Arts,Auditory,RTY1II,Female,Yes,79.0,21.0,0.0,16.0,9.0,92.0,21:30,5:30,public transport,blue,0
5136,2,No,Sports,Auditory,XIZTKJ,Male,Yes,67.0,18.0,1.0,16.0,9.0,94.0,23:00,7:00,walk,blue,1
5137,1,Yes,Clubs,Visual,NUU66T,Female,Yes,100.0,4.0,13.0,16.0,8.0,93.0,21:00,5:00,public transport,blue,0
5138,1,No,,Auditory,G18N2Q,Male,Yes,64.0,12.0,15.0,16.0,7.0,92.0,23:00,7:00,walk,green,0
5139,2,No,Arts,Visual,6V79VQ,Female,Yes,78.0,17.0,0.0,16.0,8.0,96.0,21:30,5:30,public transport,white,0
5140,0,No,Arts,Auditory,X48C6H,Female,Yes,,5.0,16.0,15.0,9.0,99.0,22:30,6:30,private transport,yellow,0
5141,2,No,Arts,Auditory,SMV9BF,Female,Yes,50.0,0.0,18.0,16.0,11.0,62.0,23:00,5:00,public transport,yellow,0
5142,0,No,Sports,Auditory,LXGYM6,Female,No,82.0,17.0,5.0,15.0,9.0,99.0,22:00,6:00,private transport,blue,0
5143,2,No,Sports,Auditory,4ETRWC,Male,No,71.0,16.0,5.0,15.0,12.0,92.0,22:30,6:30,private transport,blue,0
5144,1,No,Clubs,Visual,J0FMUC,Female,No,49.0,12.0,18.0,15.0,5.0,68.0,1:30,6:30,private transport,yellow,0
5145,0,No,Clubs,Auditory,J9UO95,Female,Yes,79.0,5.0,16.0,15.0,10.0,98.0,21:00,5:00,public transport,yellow,0
5146,0,No,Sports,Auditory,V53ZEL,Female,Yes,68.0,5.0,16.0,15.0,15.0,94.0,22:00,6:00,private transport,yellow,0
5147,1,No,Sports,Auditory,2U6TS8,Male,No,62.0,31.0,0.0,16.0,16.0,92.0,21:00,5:00,public transport,green,0
5148,1,No,,Visual,6G4AAV,Male,No,51.0,25.0,0.0,16.0,7.0,99.0,21:00,5:00,public transport,yellow,0
5149,1,No,Arts,Visual,ZBD5QC,Male,Yes,61.0,18.0,10.0,15.0,19.0,95.0,21:00,5:00,public transport,black,0
5150,0,No,,Visual,FI2P3I,Female,No,86.0,18.0,5.0,15.0,6.0,98.0,22:30,6:30,private transport,yellow,0
5151,1,Yes,Clubs,Auditory,8R9NH7,Male,Yes,67.0,15.0,6.0,16.0,11.0,95.0,23:00,7:00,walk,red,1
5152,0,No,Sports,Auditory,P8XOO3,Male,No,74.0,18.0,2.0,16.0,9.0,99.0,22:00,6:00,private transport,white,0
5153,1,No,Sports,Auditory,0E9X8P,Female,No,42.0,1.0,23.0,16.0,7.0,46.0,1:30,5:30,public transport,blue,0
5154,2,Yes,Sports,Visual,HI0YKS,Male,No,78.0,14.0,0.0,15.0,8.0,94.0,21:30,5:30,public transport,white,0
5155,1,No,Clubs,Auditory,1G5005,Male,No,46.0,15.0,15.0,16.0,13.0,90.0,21:00,5:00,public transport,red,0
5156,1,No,Arts,Visual,UQYYRA,Female,Yes,59.0,2.0,20.0,15.0,5.0,93.0,21:00,5:00,public transport,green,0
5157,2,No,,Visual,UKYHWJ,Male,No,71.0,12.0,10.0,15.0,9.0,93.0,21:30,5:30,public transport,green,0
5158,1,No,,Visual,0G07U6,Male,Yes,80.0,12.0,13.0,15.0,8.0,91.0,22:00,5:00,public transport,black,0
5159,2,Yes,,Auditory,O497AL,Male,No,62.0,11.0,5.0,15.0,5.0,93.0,22:30,6:30,private transport,yellow,0
5160,0,No,Sports,Auditory,LNFETR,Female,No,71.0,3.0,24.0,16.0,13.0,96.0,22:30,6:30,private transport,black,0
5161,0,No,Arts,Visual,HXTOC6,Male,Yes,58.0,20.0,0.0,16.0,16.0,95.0,21:00,5:00,public transport,black,0
5162,1,Yes,Sports,Auditory,0L32T9,Male,Yes,70.0,17.0,2.0,16.0,12.0,91.0,21:30,5:30,public transport,black,0
5163,0,No,Arts,Auditory,U2ZBIR,Female,Yes,72.0,17.0,6.0,16.0,16.0,95.0,23:00,7:00,walk,green,0
5164,0,Yes,Sports,Visual,PLAIAB,Female,No,84.0,17.0,0.0,16.0,7.0,92.0,21:30,5:30,public transport,blue,0
5165,2,Yes,Clubs,Visual,93Q6F0,Female,No,73.0,5.0,10.0,15.0,9.0,94.0,21:00,5:00,public transport,black,0
5166,0,No,,Auditory,WKLHRK,Female,No,63.0,5.0,22.0,15.0,14.0,95.0,23:00,7:00,walk,black,0
5167,0,No,,Auditory,1HR9N1,Male,No,87.0,20.0,2.0,16.0,7.0,97.0,22:30,6:30,private transport,red,0
5168,2,No,Clubs,Auditory,7G2DWI,Male,Yes,60.0,14.0,8.0,16.0,16.0,91.0,23:00,7:00,walk,red,0
5169,0,No,,Visual,B716CG,Female,Yes,91.0,12.0,11.0,16.0,10.0,92.0,21:30,5:30,public transport,green,0
5170,0,No,Sports,Visual,WA99SF,Female,No,70.0,13.0,7.0,15.0,12.0,92.0,22:30,6:30,private transport,blue,0
5171,1,No,Sports,Auditory,XOYFY2,Male,No,49.0,14.0,16.0,16.0,0.0,97.0,22:30,6:30,private transport,red,0
5172,1,No,Arts,Auditory,M82YG9,Male,Yes,45.0,23.0,1.0,15.0,7.0,95.0,23:00,5:00,public transport,black,1
5173,0,No,Sports,Auditory,HB2WSQ,Male,No,68.0,26.0,1.0,16.0,14.0,91.0,22:30,6:30,private transport,yellow,0
5174,1,No,,Visual,8N0FG1,Male,Yes,72.0,24.0,0.0,16.0,18.0,91.0,22:00,6:00,private transport,yellow,0
5175,1,No,Sports,Auditory,47WI40,Female,Yes,63.0,17.0,5.0,15.0,18.0,99.0,22:30,6:30,private transport,black,0
5176,1,No,,Auditory,CEO7A9,Female,Yes,66.0,21.0,1.0,15.0,17.0,99.0,21:00,5:00,public transport,black,0
5177,1,No,Arts,Auditory,6LM1A7,Male,Yes,47.0,23.0,6.0,15.0,9.0,96.0,21:30,5:30,public transport,blue,0
5178,0,Yes,Arts,Visual,WIZRJ9,Male,Yes,82.0,13.0,7.0,15.0,8.0,100.0,21:00,5:00,public transport,white,0
5179,1,Yes,Sports,Visual,QTLYDT,Male,Yes,100.0,11.0,6.0,15.0,9.0,94.0,22:30,6:30,private transport,red,0
5180,1,No,Clubs,Auditory,J65PBJ,Male,Yes,55.0,15.0,15.0,16.0,6.0,99.0,21:30,5:30,public transport,white,0
5181,1,No,Arts,Auditory,Q7RNGY,Female,No,51.0,21.0,10.0,15.0,7.0,97.0,21:30,5:30,public transport,white,0
5182,1,Yes,Sports,Visual,MJWAY4,Male,Yes,,16.0,6.0,15.0,15.0,92.0,21:00,5:00,public transport,black,0
5183,2,Yes,Arts,Visual,9PUL5Q,Male,Yes,76.0,18.0,0.0,16.0,9.0,99.0,22:00,6:00,private transport,black,0
5184,1,No,Clubs,Visual,3C4HQT,Female,Yes,51.0,10.0,19.0,16.0,9.0,96.0,23:00,7:00,walk,green,0
5185,1,Yes,,Auditory,9ALZ1B,Female,No,77.0,16.0,4.0,16.0,6.0,98.0,23:00,7:00,walk,black,0
5186,2,No,Arts,Auditory,UPBXHN,Female,No,39.0,21.0,1.0,16.0,13.0,42.0,1:30,5:30,public transport,white,0
5187,0,Yes,Arts,Auditory,OV7PYO,Female,No,76.0,14.0,5.0,15.0,13.0,95.0,21:30,5:30,public transport,red,1
5188,0,No,Sports,Visual,ZVHBO4,Female,No,67.0,24.0,4.0,16.0,20.0,98.0,21:00,5:00,public transport,red,0
5189,1,No,Arts,Auditory,O1ZU3H,Female,Yes,46.0,23.0,1.0,16.0,3.0,56.0,0:00,5:00,public transport,yellow,0
5190,0,Yes,,Auditory,H5SPZY,Female,Yes,82.0,12.0,7.0,16.0,9.0,96.0,21:00,5:00,public transport,white,0
5191,0,Yes,Arts,Auditory,IHCV97,Female,Yes,73.0,10.0,6.0,15.0,8.0,96.0,22:00,6:00,private transport,white,0
5192,1,No,Clubs,Auditory,D5SVO9,Female,No,62.0,21.0,6.0,16.0,12.0,94.0,21:00,5:00,public transport,white,0
5193,1,Yes,Arts,Auditory,978RD8,Male,Yes,86.0,15.0,7.0,15.0,9.0,97.0,21:00,5:00,public transport,white,0
5194,1,Yes,,Auditory,F9MGXG,Female,Yes,72.0,17.0,3.0,6.0,6.0,92.0,23:00,7:00,walk,yellow,0
5195,0,No,Sports,Auditory,Y7BESI,Female,No,69.0,9.0,12.0,15.0,16.0,100.0,22:00,6:00,private transport,yellow,0
5196,1,No,Sports,Visual,XCZN0D,Female,Yes,57.0,14.0,14.0,15.0,18.0,91.0,21:00,5:00,public transport,white,0
5197,1,No,Sports,Visual,HX1NEW,Female,Yes,57.0,23.0,5.0,16.0,10.0,97.0,23:00,7:00,walk,red,0
5198,2,Yes,,Visual,IX0LJU,Female,Yes,81.0,13.0,1.0,15.0,7.0,91.0,21:30,5:30,public transport,red,0
5199,1,Yes,Clubs,Auditory,8RJ1VC,Female,No,55.0,13.0,12.0,16.0,16.0,94.0,21:00,5:00,public transport,blue,0
5200,0,Yes,,Auditory,2NDS80,Male,Yes,79.0,15.0,0.0,16.0,5.0,100.0,23:00,7:00,walk,white,0
5201,1,No,Arts,Auditory,L5TJWJ,Female,No,,11.0,19.0,15.0,5.0,91.0,23:00,7:00,walk,yellow,0
5202,2,Yes,Sports,Auditory,NJGQ12,Male,No,52.0,10.0,6.0,16.0,9.0,94.0,21:30,5:30,public transport,blue,0
5203,1,No,Sports,Visual,N3E2KA,Female,No,54.0,25.0,5.0,15.0,12.0,92.0,22:30,5:30,public transport,green,0
5204,1,Yes,Clubs,Visual,DTR4B9,Female,Yes,42.0,8.0,20.0,15.0,5.0,95.0,23:00,7:00,walk,white,0
5205,1,No,Sports,Auditory,WN5H2N,Female,No,44.0,8.0,16.0,16.0,11.0,49.0,1:30,5:30,public transport,black,0
5206,1,Yes,Sports,Auditory,EBP0OV,Male,Yes,80.0,12.0,5.0,6.0,5.0,94.0,21:00,5:00,public transport,blue,1
5207,0,No,,Auditory,0BP01K,Male,No,69.0,23.0,4.0,16.0,14.0,95.0,21:30,5:30,public transport,yellow,0
5208,1,No,Clubs,Visual,YQX3LS,Male,Yes,64.0,19.0,9.0,15.0,9.0,98.0,22:00,6:00,private transport,green,0
5209,1,No,Arts,Auditory,H5FLXQ,Female,Yes,58.0,26.0,5.0,15.0,6.0,99.0,21:00,5:00,public transport,white,0
5210,1,No,Arts,Visual,9D52E0,Male,No,47.0,24.0,6.0,16.0,4.0,64.0,1:00,7:00,walk,white,0
5211,0,No,Sports,Visual,4DVF0V,Female,Yes,78.0,10.0,14.0,16.0,9.0,96.0,21:00,5:00,public transport,green,0
5212,1,Yes,Clubs,Visual,XYCSQ7,Female,No,44.0,9.0,19.0,16.0,7.0,99.0,21:30,5:30,public transport,blue,0
5213,1,No,Arts,Visual,Q9KXK6,Male,No,45.0,29.0,1.0,15.0,8.0,91.0,23:00,7:00,walk,black,0
5214,0,No,,Visual,XJCW09,Male,No,91.0,11.0,12.0,16.0,6.0,97.0,21:00,5:00,public transport,red,0
5215,2,No,Sports,Auditory,FOU7I1,Female,Yes,39.0,16.0,8.0,16.0,7.0,74.0,0:00,7:00,walk,white,0
5216,1,No,Clubs,Visual,MO42BY,Female,No,57.0,9.0,21.0,15.0,11.0,92.0,21:00,5:00,public transport,white,0
5217,0,No,Clubs,Visual,5DUBZJ,Male,Yes,90.0,14.0,4.0,16.0,9.0,99.0,22:00,6:00,private transport,black,0
5218,1,Yes,Arts,Auditory,QPYET6,Male,Yes,49.0,13.0,11.0,15.0,11.0,80.0,21:00,5:00,public transport,red,0
5219,1,Yes,Sports,Auditory,GSXOFW,Male,No,44.0,15.0,10.0,15.0,6.0,55.0,1:30,6:30,private transport,yellow,0
5220,1,Yes,Sports,Auditory,8TXU4X,Female,Yes,54.0,23.0,2.0,15.0,9.0,91.0,22:30,6:30,private transport,black,0
5221,1,No,Arts,Auditory,QNMEB9,Female,No,50.0,23.0,2.0,16.0,12.0,90.0,21:00,5:00,public transport,white,0
5222,2,No,Arts,Visual,XJMT7C,Male,Yes,78.0,15.0,2.0,15.0,6.0,99.0,21:00,5:00,public transport,green,0
5223,0,No,Sports,Auditory,LELH4F,Male,No,68.0,11.0,9.0,16.0,11.0,94.0,22:00,6:00,private transport,black,1
5224,1,No,Arts,Auditory,5NEQ93,Male,Yes,,10.0,14.0,15.0,19.0,98.0,23:00,7:00,walk,white,0
5225,1,Yes,,Auditory,ALALLS,Female,No,83.0,14.0,3.0,15.0,5.0,95.0,22:30,6:30,private transport,yellow,0
5226,1,No,Arts,Auditory,FNUP2P,Female,Yes,59.0,0.0,24.0,15.0,10.0,93.0,22:00,6:00,private transport,blue,0
5227,0,No,Sports,Visual,W5YWOP,Female,Yes,91.0,21.0,3.0,16.0,6.0,92.0,21:30,5:30,public transport,green,0
5228,2,No,Arts,Visual,F38WWU,Female,Yes,59.0,5.0,17.0,16.0,19.0,91.0,21:00,5:00,public transport,green,0
5229,2,No,Sports,Auditory,KFWBT1,Male,Yes,51.0,15.0,3.0,16.0,18.0,93.0,21:30,5:30,public transport,green,0
5230,0,Yes,Sports,Auditory,3TNYYH,Female,Yes,80.0,12.0,9.0,16.0,6.0,97.0,22:30,6:30,private transport,yellow,0
5231,1,No,Clubs,Auditory,PD7GCL,Male,No,55.0,18.0,9.0,16.0,8.0,95.0,21:00,5:00,public transport,red,0
5232,1,No,Clubs,Auditory,C8GZM3,Female,Yes,59.0,0.0,31.0,16.0,9.0,93.0,21:00,5:00,public transport,green,0
5233,0,No,Sports,Auditory,N44TR2,Male,Yes,73.0,22.0,0.0,15.0,19.0,100.0,22:30,6:30,private transport,white,0
5234,1,No,Clubs,Auditory,BXGFHP,Male,Yes,67.0,17.0,5.0,16.0,12.0,91.0,22:30,6:30,private transport,black,0
5235,2,No,Arts,Visual,HTKVKQ,Male,No,80.0,12.0,7.0,16.0,7.0,92.0,23:00,7:00,walk,blue,0
5236,1,No,Clubs,Visual,7MPKKH,Female,No,49.0,14.0,16.0,16.0,1.0,91.0,22:00,6:00,private transport,black,0
5237,1,No,Arts,Auditory,9YAH6Y,Female,No,51.0,15.0,10.0,16.0,8.0,99.0,21:30,5:30,public transport,green,0
5238,1,Yes,Sports,Auditory,YCUH32,Female,No,56.0,19.0,6.0,15.0,16.0,95.0,22:30,6:30,private transport,blue,0
5239,1,No,Sports,Auditory,F4H1C7,Female,Yes,65.0,18.0,10.0,16.0,5.0,96.0,21:30,5:30,public transport,green,0
5240,0,No,Arts,Auditory,82PG2I,Female,No,60.0,11.0,16.0,15.0,8.0,92.0,22:30,6:30,private transport,red,0
5241,0,Yes,Sports,Visual,K87HTX,Female,No,69.0,14.0,2.0,15.0,12.0,95.0,21:00,5:00,public transport,yellow,0
5242,0,Yes,,Visual,6DFE7V,Female,No,83.0,18.0,2.0,16.0,8.0,91.0,22:30,6:30,private transport,yellow,0
5243,0,No,,Auditory,08N1KN,Female,Yes,63.0,16.0,11.0,15.0,20.0,94.0,22:00,6:00,private transport,yellow,0
5244,0,No,Arts,Visual,BZKXP7,Female,No,79.0,4.0,23.0,16.0,9.0,91.0,23:30,6:30,private transport,yellow,0
5245,0,No,,Visual,IH3PSM,Female,No,91.0,15.0,4.0,16.0,7.0,98.0,22:30,6:30,private transport,yellow,0
5246,0,No,,Visual,VKV2W3,Female,No,82.0,22.0,2.0,15.0,9.0,97.0,21:30,5:30,public transport,green,0
5247,1,No,Clubs,Visual,TZLOVA,Male,No,57.0,21.0,5.0,16.0,15.0,92.0,23:00,7:00,walk,blue,0
5248,1,No,Arts,Auditory,NG6YKR,Male,Yes,59.0,13.0,18.0,16.0,6.0,96.0,21:30,5:30,public transport,blue,0
5249,1,No,Sports,Auditory,DVWJX3,Female,Yes,58.0,9.0,15.0,16.0,7.0,91.0,23:00,7:00,walk,white,0
5250,0,No,Arts,Visual,DZ5JLO,Male,Yes,68.0,21.0,2.0,16.0,14.0,94.0,22:30,6:30,private transport,yellow,0
5251,1,Yes,,Visual,B3N09U,Male,Yes,88.0,15.0,2.0,15.0,7.0,96.0,21:30,5:30,public transport,white,0
5252,0,No,,Auditory,4VED9C,Male,Yes,62.0,14.0,7.0,16.0,8.0,93.0,22:00,6:00,private transport,yellow,0
5253,0,No,,Auditory,RS5VPT,Female,Yes,93.0,8.0,17.0,15.0,9.0,97.0,22:00,6:00,private transport,red,0
5254,2,No,Clubs,Visual,GSSWRF,Male,Yes,57.0,12.0,10.0,15.0,19.0,98.0,21:00,5:00,public transport,red,0
5255,1,No,Sports,Visual,DV3H9D,Male,No,55.0,18.0,8.0,16.0,13.0,98.0,23:00,7:00,walk,blue,0
5256,2,No,Clubs,Visual,MGIEAQ,Male,No,72.0,22.0,0.0,15.0,14.0,99.0,21:00,5:00,public transport,red,0
5257,1,No,Arts,Visual,09CTB7,Male,Yes,70.0,22.0,2.0,15.0,8.0,94.0,22:30,6:30,private transport,yellow,0
5258,1,Yes,Clubs,Auditory,OB8MQK,Female,Yes,71.0,10.0,10.0,16.0,7.0,97.0,21:30,5:30,public transport,red,0
5259,0,No,Clubs,Auditory,682XX3,Female,No,67.0,5.0,22.0,15.0,7.0,99.0,22:30,6:30,private transport,yellow,0
5260,1,Yes,,Auditory,0N6SFC,Male,Yes,76.0,21.0,0.0,15.0,18.0,97.0,22:00,6:00,private transport,red,0
5261,2,Yes,Arts,Auditory,ZCDDU0,Male,No,43.0,22.0,1.0,15.0,7.0,74.0,22:00,5:00,public transport,green,0
5262,1,No,Sports,Visual,Y0XYEI,Male,No,57.0,30.0,1.0,15.0,9.0,100.0,22:00,6:00,private transport,black,0
5263,1,No,Clubs,Auditory,L98T3U,Male,No,59.0,23.0,4.0,15.0,16.0,95.0,21:00,5:00,public transport,green,0
5264,0,No,,Auditory,EDEE9H,Male,Yes,67.0,12.0,9.0,16.0,15.0,91.0,22:00,6:00,private transport,black,0
5265,2,No,Clubs,Auditory,NF9FV1,Male,Yes,67.0,20.0,1.0,16.0,18.0,93.0,21:30,5:30,public transport,yellow,0
5266,0,No,Arts,Auditory,4A78SA,Female,No,70.0,15.0,5.0,15.0,14.0,92.0,21:00,5:00,public transport,white,0
5267,0,No,Clubs,Visual,1AF6QM,Male,No,72.0,26.0,2.0,15.0,13.0,92.0,23:00,7:00,walk,white,0
5268,2,No,Sports,Visual,3GKFYO,Female,Yes,70.0,21.0,1.0,15.0,20.0,91.0,22:00,6:00,private transport,white,0
5269,1,Yes,Sports,Auditory,F1UPK5,Male,Yes,80.0,15.0,6.0,15.0,10.0,98.0,23:00,7:00,walk,blue,0
5270,1,No,Arts,Visual,OSH7N7,Male,Yes,75.0,20.0,5.0,16.0,8.0,96.0,23:00,7:00,walk,black,0
5271,0,Yes,Arts,Visual,JBM1PL,Male,No,77.0,12.0,6.0,15.0,10.0,94.0,23:00,7:00,walk,black,0
5272,1,Yes,,Auditory,EUVILM,Male,Yes,77.0,11.0,6.0,15.0,8.0,95.0,22:00,6:00,private transport,yellow,0
5273,1,No,,Auditory,ZWJ3DH,Male,No,56.0,17.0,10.0,16.0,11.0,95.0,23:00,7:00,walk,red,0
5274,0,No,Clubs,Visual,YY4DB3,Female,Yes,93.0,0.0,19.0,16.0,6.0,94.0,22:30,6:30,private transport,green,0
5275,0,No,Clubs,Auditory,8SXOGA,Male,Yes,87.0,13.0,9.0,15.0,6.0,90.0,22:30,6:30,private transport,green,0
5276,2,No,,Auditory,Z6WURJ,Female,No,73.0,15.0,6.0,15.0,9.0,95.0,22:00,6:00,private transport,white,0
5277,0,No,,Auditory,DCVXJ8,Female,No,61.0,10.0,17.0,15.0,15.0,92.0,23:00,7:00,walk,red,0
5278,1,No,Clubs,Visual,5FMF9R,Female,No,50.0,29.0,1.0,16.0,2.0,93.0,22:00,6:00,private transport,green,0
5279,0,No,,Visual,9ZCF59,Female,Yes,93.0,1.0,18.0,15.0,9.0,96.0,21:30,5:30,public transport,red,0
5280,1,No,Clubs,Auditory,4FKGUG,Female,No,43.0,22.0,6.0,15.0,13.0,97.0,22:30,6:30,private transport,red,0
5281,1,No,Arts,Auditory,JL3CUT,Male,Yes,64.0,17.0,11.0,15.0,8.0,93.0,22:00,6:00,private transport,green,0
5282,0,No,,Auditory,8OVX5Z,Female,Yes,68.0,22.0,5.0,15.0,7.0,90.0,23:00,7:00,walk,blue,0
5283,1,Yes,Clubs,Auditory,UWCTUN,Female,No,53.0,10.0,15.0,16.0,6.0,91.0,22:00,6:00,private transport,green,0
5284,2,No,Arts,Visual,931LEL,Male,Yes,78.0,12.0,5.0,16.0,9.0,91.0,22:30,6:30,private transport,green,0
5285,2,No,Sports,Auditory,XVKPOJ,Male,Yes,53.0,19.0,0.0,15.0,7.0,94.0,22:00,6:00,private transport,blue,0
5286,1,No,Arts,Visual,N6V0HK,Female,No,57.0,21.0,5.0,15.0,16.0,99.0,21:00,5:00,public transport,white,0
5287,1,Yes,,Auditory,IWRN8K,Male,Yes,85.0,15.0,7.0,15.0,10.0,95.0,21:30,5:30,public transport,blue,1
5288,2,No,Sports,Visual,6TSAMO,Female,No,,13.0,4.0,15.0,7.0,94.0,21:30,5:30,public transport,yellow,0
5289,0,No,Clubs,Visual,KWH4C6,Female,No,86.0,17.0,7.0,16.0,7.0,92.0,21:00,5:00,public transport,blue,0
5290,2,Yes,,Visual,ERRGJG,Female,No,74.0,0.0,15.0,16.0,13.0,92.0,21:30,5:30,public transport,white,0
5291,1,No,Clubs,Auditory,15QX67,Male,No,50.0,22.0,8.0,16.0,10.0,73.0,0:00,7:00,walk,yellow,0
5292,2,No,Clubs,Auditory,HKIMBF,Female,No,44.0,2.0,22.0,15.0,9.0,99.0,23:00,7:00,walk,blue,0
5293,2,No,Clubs,Auditory,V1GA5K,Male,No,56.0,16.0,3.0,16.0,13.0,98.0,22:00,6:00,private transport,red,0
5294,2,No,Clubs,Auditory,F903OJ,Male,No,62.0,19.0,1.0,16.0,17.0,91.0,21:00,5:00,public transport,yellow,0
5295,0,No,Clubs,Auditory,OPXEW9,Male,Yes,65.0,13.0,9.0,6.0,5.0,96.0,21:30,5:30,public transport,red,0
5296,2,No,Arts,Auditory,AILB75,Male,No,44.0,21.0,3.0,16.0,10.0,91.0,22:00,6:00,private transport,red,0
5297,1,No,,Auditory,RC8GT9,Female,Yes,69.0,17.0,5.0,15.0,17.0,97.0,21:00,5:00,public transport,yellow,0
5298,1,No,Sports,Visual,79KZG9,Female,Yes,58.0,19.0,9.0,15.0,10.0,94.0,22:30,6:30,private transport,green,0
5299,2,No,Sports,Auditory,469V1X,Female,No,41.0,16.0,6.0,16.0,14.0,96.0,22:00,6:00,private transport,yellow,0
5300,1,Yes,Arts,Auditory,CWGAP0,Female,No,48.0,12.0,18.0,15.0,10.0,93.0,21:00,5:00,public transport,black,0
